<MOH id = 0 >	****** Result for Image/Page 1 ******
<MOH id = 1027 >	35 "Kwah í:kehre' othé:nen ónhte tewakhkwáhton," enhsì:ron'; "Í:kehre' ónhka'k ionkerióhsion, iah ki' tekè:iahre'. Oh ne kèn:'en nontié:ren tsi iah tétie's? Teiotonhwentsóhon shé:kon naonsakhnekì:ra'." 
<MOH id = 1028 >	-19- 
<MOH id = 1029 >	24 Tóhsa sheiahská:nek ne rotirihwanera'ákskon, tóhsa sate'nién:ten nahsheiatenro'serónnien'. 
<MOH id = 1030 >	2 Nek ronnonhtónnion nahò:ten' tahshakona'nikonhrhá:ren', tánon' ónhka'k ahshakotikarón:ni' tsi nahò:ten' enthontá:ti'. 
<MOH id = 1031 >	-20- 
<MOH id = 1032 >	3 Attokháhtshera' tánon' ka'nikonhraientáhtshera' énhsatste' nahsatenonhsón:ni' ne entehsate'nonhkónnia'te'. 
<MOH id = 1033 >	4 Tsi nón:we niká:ien ne ka'nikonhraientáhtshera' tho nón: kakè:ron ne kanónhskon iohskatsténion tánon' kanoròn:shon. 
<MOH id = 1034 >	-21- 
<MOH id = 1035 >	5 Ne sénha ioiánere' ne aionttókhake' tsi ní:ioht ne aie'shátsteke'; hen, teiako'nikonhráthe' sénha tkaia'takwe'ní:io tsi ní:ioht ne ka'shatsténhsera'. 
<MOH id = 1036 >	6 Tsi nikarihò:ten', teiotonhwentsóhon ohén:ton ahsate'nikonhrísa' ohén:ton tsi niió:re ahsateriióhsera', tánon' sénha é:so karihwí:io aiesa'nikòn:ron' eh tho ki' néntewe' nahsatkwé:ni'. 
<MOH id = 1037 >	-22- 
<MOH id = 1038 >	7 Owenna'shòn:'a ne wattokhahtsherí:io iah thahoti'nikonhraién:ta'ne' ne iah tha'tehoti'nikonhráthe' iah othé:nen tehoti:ien nahò:ten' ahonnì:ron' nó:nen iorihowá:nen nahò:ten' tekahtharáhkwen. 

<MOH id = 1040 >	****** Result for Image/Page 55 ******

<MOH id = 1042 >	-23- 
<MOH id = 1043 >	8 Tóka' tiótkon sate'nikonhrón:ni ne karihwahétken ne ki' tenhsatèn:tsha' enhtshennowáhnha' tsi nek sarì:waien nahsenenhráksa'te'. 
<MOH id = 1044 >	9 Nahò:ten' enhateweiennón:ni' ne tehotenonhwarorì:tonte' nek ne karihwáksen. Ón:kwe shakotíhswens nónhka thihshakoié:ron, tánon' enhshakotia'tontákwahte'. 
<MOH id = 1045 >	-24- 
<MOH id = 1046 >	10 Tóka' satsi'ió:ha nó:nen nahò:ten' teka'nikónhrhare', kwah í:ken ki' tsi satsi'ió:ha. 
<MOH id = 1047 >	-25- 
<MOH id = 1048 >	11 Tóhsa saterahià:tahkw ónhka ahtshe'niá:kenhte' ne ronwarióhsere' tóka' ni' ronwahsehtà:ne' ne iah othé:nen teho'nhì:kon. 
<MOH id = 1049 >	12 Enwá:ton' enhsì:ron' iah othé:nen tesarihwà:ke, nok Rawenní:io roterièn:tare' tánon' tenhiaia'tó:rehte' oh niiotié:ren tsi tho nihsiéhrha'. Ia'nikòn:rare'; roterièn:tare'. tánon' tenhiarihwa'serákwahse', ne ki' tkawenní:io tsi nihsatieránions. 
<MOH id = 1050 >	-26- 
<MOH id = 1051 >	13 Konièn:'a otsi'nahkontahkwà:ne' óshes í:sek, iawékon. Enwathró:ri' sen'nahsà:ke tsi na'teiotsikhè:tare'. 
<MOH id = 1052 >	14 Orihwí:io ón:we' ne attokháhtshera tsi tió:wis atónhnhets ne ioiánere'. Saién:ta'n nattokháhtshera' tánon' ensaién:ta'ne' tensahswathè:ten' tsi satonhnhahtentionhátie'. 
<MOH id = 1053 >	-27- 
<MOH id = 1054 >	15 Tóhsa tho nenhsia'to'ténhake' tsi ní:ioht ne iah tetionkwe'taié:ri ronte'nikonhrón:ni nahshakotinénhsko' ne thotirihwaié:ri tóka' ò:ni' iahatíhawe' raotinonhsa'shòn:'a. 
<MOH id = 1055 >	16 Iah othé:nen tewatsterístha' tho niiotkà:te' ne thonnonkwe'taié:ri tahati'nióhsken'ne', tiótkon tenshatí:ta'ne'; nok ne iah tethotirihwaié:ri enhontkarón:ni' tóka' ò:ni' enhontatáhton'te'. 
	 
<MOH id = 1057 >	****** Result for Image/Page 56 ******

<MOH id = 1059 >	-28- 
<MOH id = 1060 >	17 Tóhsa satonhnhà:ren nó:nen ne iesáhswens enhotí:ra'ne' nahontkarón:ni', tánon' tóhsa satshennón:ni nó:nen tahonahsì:tia'ke'. 
<MOH id = 1061 >	18 Roiá:ner enháttoke' tóka' sa'nikòn:rakon enhsatonhnhà:ren' tsi thahsheié:ron' nónhka taie'nióhsken'ne' iah ki' thahawerien'tí:io', sok tóka' nòn:wa iah thahshakohré:wahte'. 
<MOH id = 1062 >	-29- 
<MOH id = 1063 >	19 Tóhsa sathón:tat ne iah tetionkwe'taié:ri taiesa'nikonhrhá:ren'; tóhsa sheiahská:nek tsi nihontiéhrha'. 
<MOH id = 1064 >	20 Ónhka ne iah tetiakorihwaié:ri iah othé:nen thaiakoién:take' tsi nia'awenonhátie'. Iah othé:nen nahò:ten' thia'taiekà:nerake'. 
<MOH id = 1065 >	-30- 
<MOH id = 1066 >	21 "Konièn:'a, é:so tsi ehtskweniénhsthak ne Roiá:ner, tánon' ehtshennó:wanaht ne ronontí:io. Tóhsa sewatén:rok nón:kwe ne iah tehontahónhsatats tsi nihotirihò:ten' ne Roiá:ner tánon' ne ronontí:io; 
<MOH id = 1067 >	22 Kí:ken niionkwe'tò:ten's iosnó:re' ehtà:ke enhontatón:ni'. Sa'nikonhraién:ta's ken Rawenní:io tóka' ò:ni' ronontí:io kakaronniáhtshera' entehshakotenniéhten'? Shé:kon Attokháhtshera' Wathró:ris 
<MOH id = 1068 >	23 Ne ronte'nikonhrattókha' ne ò:ni' kí:ken ronathró:ri, iah tetkaié:ri ne tehatiia'toréhtha' nahshakotikarenhrákwahte' nón:kwe. 
<MOH id = 1069 >	24 Tóka' enhonnì:ron' iah teiako'nhì:kon tánon' iako'nhì:kon ne akarihón:ni' akwé:kon enhonwatikenhren'serón:ni' tánon' enhonwatíhswen'. 
<MOH id = 1070 >	25 Tehatiia'toréhtha' nónhka roti'nhì:kon enhshakotihré:wahte' sok nè:'e entkáhawe' enhotikwátshe'ne' tánon' enhontatshennahserón:ni'. 
<MOH id = 1071 >	26 Ne tkarihwaié:ri tahserihwa'será:ko', ne kén:ton ne kwah orihwí:io tsi watenro'serí:io. 
<MOH id = 1072 >	27 Tóhsa satenonhsón:ni tánon' tserón:nitst tsi nón:we enhsi'terón:take', tsik saweienentà:'on tsi nón:we tisonhwentsá:ien tánon' orihwí:io tsi enhskwé:ni' nahsatonhnhíhsake'. 
<MOH id = 1073 >	 
<MOH id = 1074 >	****** Result for Image/Page 57 ******
 
<MOH id = 1076 >	28 Tóhsa tasáhtka'wh ne karihwahní:rats nónhka shè:niote' ne iah thia'teioríhonte' tóka' ò:ni' aontahsewenníneken'ne' nahò:ten' iah teiorihwí:io ne ahsheiénhahse'. 
<MOH id = 1077 >	29 Tóhsa tsì:ron, "Tho nenkheié:ra'se' tsi na'ontié:ra'se' nì:'i! Ensekhekária'khse'!" 
<MOH id = 1078 >	30 Wa'kéhshon' tsi thothéhtaien ne rentóhrha' tánon' tehotenonhwarorì:tonte' tsi nón:we thoiénthon ne o'nénhare'. 
<MOH id = 1079 >	31 Ohì:kta' tánon' kahontáksen tetkáhere', ò:ni' onén:ia' tsi waten'èn:rote' akwé:kon tio'sèn:seron. 
<MOH id = 1080 >	32 Wa'kka'én:ion' kí:ken, wa'kanonhtonnión:ko', tánon' onkerihónnien' tsi nahò:ten' wa'katkáhtho'. 
<MOH id = 1081 >	33 Wà:s ká:ti' ken' nikarihwésha sén:ta'wh; tesanihsnonhsà:seren satoríshen ken' nikarihwésha, tsi ká:ti' nikarì:wes sén:ta's kentenhtéhtshera' entisatia'tón:ti' tsi ní:ioht ne kwah ranenhskwahtsherí:io. 
<MOH id = 1082 >	Shé:kon ne Solomon Raottokáhtshera' 
<MOH id = 1083 >	25 Shé:kon á:re ne Solomon raottokháhtshera' tehotihna'netáhkwen ne ratihiá:tonskwe' tsi nón:we thèn:teron Ronontí:io Hezekiah ne Judah. 
<MOH id = 1084 >	2 Ehtshitewarihwakweniénhstha' ne Rawenní:io tsi nahò:ten' shonkwarihwahsehtén:ni; iethirihwakweniénhstha' ne rotinontiiò:shon tsi nahò:ten' tehatirihwathè:tha'. 
<MOH id = 1085 >	3 Iah nonwén:ton tesaterièn:tare' nahò:ten' ranonhtónnions ne ronontí:io iah ni' thiaietewáhewe' nahò:ten' ranonhtónnions, ne taié:ren' tsi nitiótte' ne karonhià:ke tánon' tsi niiohnó:tes ne kaniatara'kehkó:wa. 
<MOH id = 1086 >	4 É:ren shá:wiht nahò:ten' iah aóskon té:ken ne kahwistarà:ken, sok ne rahwistón:ni ióhskats nahò:ten' enháhsa'. 
<MOH id = 1087 >	5 É:ren sheia'tenhá:wiht ne iah tethotirihwaié:ri ne ronontí:io ronwa'nikonhrá:wis; sok ne raokoráhtshera' enwe'néhake' tsi ioterihwakwaríhsion. 
<MOH id = 1088 >	6 Nó:nen raohén:ton ténhsta'ne' ne ronontí:io, tóhsa sate'nién:ten è:neken ahsatatón:ni' tánon' ahséhrheke' ken tshennowá:nen. 
<MOH id = 1089 >	7 Ne sénha ioiánere' naiesari'wanón:tonhse' sénha è:neken ahsaterihón:ten' tsi ní:ioht ne aiesahró:ri' akò:ren aontahshé:ion' ne sanaktà:ke ne sénha è:neken tiakótte'. 
<MOH id = 1090 >	 
<MOH id = 1091 >	****** Result for Image/Page 58 ******
<MOH id = 1093 >	8 Tóhsa só:tsi tesahsteríhen kaianerenhserà:ke niáhse' tsi nahò:ten' wahsatkáhtho'. Oh nénhsiere' tóka' akò:ren enierihwahní:rate' tsi nahò:ten' í:sen iah tó:kenske té:ken? 
<MOH id = 1094 >	9 Tóka' í:se' tánon' tetsanonhsané:ken tentsaterihwatíha' senirihwahserón:ni tsi na'tetsátere' tánon' tóhsa othé:nen senotáhsi nahò:ten' karihwahséhton. 
<MOH id = 1095 >	10 Ne ká:ti' tiorì:wa akwé:kon eniakotó:kenhse' tsi iah thahskwé:ni' nahserihwáhsehte', tánon' iah nonwén:ton thiaonteríhsi' ne satehénhsera'. 
<MOH id = 1096 >	11 Aionte'nikonhrísa' ne kwah ieká:ien ne shà:ka ne thé:nen ohwistanó:ron tánon' kahwistarà:ken ionnià:ton. 
<MOH id = 1097 >	12 Nónhka aiesahronkà:ten' ne orihwí:io tsi iakoterièn:tare' tánon' nónhka iakotateweiennentà:'on aiontahónhsatate', ne sénha sha'tékena tsi ní:ioht ne ohwistanó:ron anihsnónhsawi tánon' ne kwah tiohskatsténion ohwistanoron'shòn:'a. 
<MOH id = 1098 >	13 Nónhka tsheniahé:sen ne rarihwakarénie's é:so sha'tékena, rawerien'tí:io's ne iehotenniéhton, ne taié:ren' tsi ní:ioht ne kwah iohné:kano nó:nen kwah tio'taríhen tsi nikahá:wi ieienthókwas. 
<MOH id = 1099 >	14 Nón:kwe ne othé:nen enhatihrhá:ratste' tánon' iah tho tehatiiéhrha', ne shà:ka ne iotshatarónnion tánon' ówera' ne iah tetkáhas naiokén:nore'. 
<MOH id = 1100 >	15 Tóka' sa'nikonhkátste' nahò:ten' ahshe'nikòn:ron' ne ierihwa'shátste', enwá:ton' tenhshe'nikonhraté:ni' ok ò:ni' ne ratikorahserowá:nen's. 
<MOH id = 1101 >	16 Tóhsa ísi' nón: nénhseke' ne otsi'nahkontahkwà:ne' óshes tsi na'teiotonwentsóhon; tóka' só:tsi é:so énhseke' entehsátstike'. 
<MOH id = 1102 >	17 Tóhsa só:tsi iotkà:te' shenatahré:nahs ne tesewanonhsané:ken; tóka' nòn:wa eniesaterihonkóhten' tánon' tho néntewe' eniesáhswen'. 
<MOH id = 1103 >	18 Tóka' iah tetkaié:ri nahò:ten' aiesarihwáhrho', ne shà:ka ne a'share'kó:wa, kanà:kare', tóka' ò:ni' kaién:kwire' ne kwah tiohio'thí:ie' áhontste' aiesáriohte'. 
<MOH id = 1104 >	19 Nónhka ahshehrhá:reke' ne iah teiakorihwató:ken nó:nen othé:nen tenwatierónnion' ne shà:ka ne ahsate'nién:ten' tahsatskà:hon' tóka' io'nhétska ne sanawí:ra', tóka' ò:ni' ahsahtentión:ko' tóka' tesarahsi'tià:kon. 
	 
<MOH id = 1106 >	****** Result for Image/Page 59 ******

<MOH id = 1108 >	20 Ahsheiaterennóthahse' nónhka iako'nikonhrèn:ton ne táhseren' ahseríhsi' akotsherónnia nó:nen iawenhniserá:no tóka' ò:ni' tiohiò:tsis ahseránie' tsi nón:we iah tetsóhnare'. 
<MOH id = 1109 >	21 Tóka' ne iesáhswens rontonhkária'ks, shé:nont; tóka' rotinia'táthens, shehné:kanont. 
<MOH id = 1110 >	22 Enhsheiatéha'te' tánon' Roiá:ner tenhiarihwa'serákwahse'. 
<MOH id = 1111 >	23 Taierihwenhá:wihte' nek tkáhas kana'khwénhsera' ne taié:ren' tsi othorè:ke ówera' tewatenniéhtha' naiokén:nore'. 
<MOH id = 1112 >	24 Ne sénha ioiánere' tsi karonhkwe'náhere' ahsi'terón:take' tsi ní:ioht ne skátne aieseni'terón:take' ne seniniá:kon ne iakotewennaientónhtskon. 
<MOH id = 1113 >	25 Kháre ó:nen wahserihwà:ronke' karihwí:io's í:non tionhwentsá:te' nontá:we' ne shà:ka nahshnekì:ra' iohné:kano nó:nen kwah sania'táthens. 
<MOH id = 1114 >	26 Tóka' ne tiakorihwaié:ri iaiontate'nikonhrénhawe' ne ionkwe'tahétken ne sehiahrahkwén:nis tsi kahnekáksen tsi nón:we tiohné:kote' tóka' ò:ni' kahnekaksà:ton. 
<MOH id = 1115 >	27 Só:tsi é:so ne otsi'nahkontahkwà:ne' óshes iah teioiánere' ne sarihwà:ke. Ok ò:ni' tóka' ahsate'nién:ten' ne é:so taiesarénhsaron', iah teioiánere'. 
<MOH id = 1116 >	28 Tóka' iah thahskwé:ni' ne sana'khwénhsera' naontahsanónhton'se', iah ká:ti' tesa'shatstenhserá:ien, ne shà:ka tóka' tsi tkaná:taien ne iah tha'tetkentstèn:rote' tekahnhohóntion watié:sen ne ahatinataká:ri'. 
<MOH id = 1117 >	26 Tahserénhsaron' ónhka nón:kwe teiakotenonhwarorì:tonte' iah teió:nakte', ne shà:ka ne táhseren' óniehte' akenhnhà:ke tóka' ò:ni' aiokén:nore' tsi niieienthókwas. 
<MOH id = 1118 >	2 Aiesakenhren'serón:ni' iah thaiesakaré:wahte' tsik tóka' tesatèn:tshon. Tsi ní:ioht ne tsítha teiotitenhátie' tánon' iah tha'takontà:senhte'. 
<MOH id = 1119 >	3 Ó:nen'k tsi enhsenonhwáre'ke' ne akohsá:tens, ó:nen'k tsi enhskonhsotáhrhoke' ne tewahónhtes, tánon' ó:nen'k tsi enhtshenonhwenhserário' ne tehotenonhwarorì:tonte'. 
 
<MOH id = 1122 >	****** Result for Image/Page 60 ******

<MOH id = 1124 >	4 Tóka' tenhserihwa'será:ko' nahò:ten' ne teiotenonhwarorì:tonte' í:se' ki' ò:ni' sha'teseninonhwaró:ri ne ónhka wa'esari'wanón:tonhse'. 
<MOH id = 1125 >	5 Tahserihwa'será:ko' nahò:ten' ne teiotenonhwarorì:tonte', sok ne ónhka wahari'wanón:ton', enháttoke' tsi iah kwah tha'teho'nikonhráthe' tsi ní:ioht tsi ranonhtónnions. 
<MOH id = 1126 >	6 Tóka' enhtsheríhon' ne tehotenonhwarorì:tonte' naharihwakaré:ni' ne orihwa'shòn:'a, sha'té:ioht ne àhsia'ke' sahsi'tà:ke; seri'wanóntha' ne tahsa'nikonhrhá:ren'. 
<MOH id = 1127 >	7 Ne tehotenonhwarorì:tonte' iah thia'teioríhonte' ne à:ratste' karihonnienníhtshera', ne aontaionte'nién:tenhste' nónhka rahsináksen iah tè:re's. 
<MOH id = 1128 >	8 Tahsherénhsaron' nónhka iah tehoti'nikonhraientà:tskon iah thia'teioríhonte', ne táhseren' ahshwánerenke' onén:ia' sehsnonhsà:ke iensá:ti' tánon' iah káneka thiá:we'. 
<MOH id = 1129 >	9 Ne tehotenonhwarorì:tonte' ì:rehre' wattokhahtsherí:io tsi nahò:ten' tahawenníneken'ne' sehiahrahkwén:ni tsi kwah né:ne rohné:ka rate'niéntha' ohì:kta' ahróhtshi' rahsnonhsà:ke. 
<MOH id = 1130 >	10 Raténhnha's ne tsik ónhka'k enhshakóhnha'ne' ne tehotenonhwarorì:tonte' akwé:kon enhshakokarón:ni'. 
<MOH id = 1131 >	11 Ne tehotenonhwarorì:tonte' tekeníhaton tenha'nióhsken'ne' ne shà:ka ne è:rhar eh tho niaonsá:we' én:wake' tsi nón:we tiotstí:kon. 
<MOH id = 1132 >	12 Nónhka ne kwah tehotenonhwarorì:tonte' raónha sénha ioiánere' raorihwà:ke tsi ní:ioht ne ónhka rón:nehre' ronttókha' tánon' iah tho té:ioht. 
<MOH id = 1133 >	13 Oh nontié:ren ne ronnentóhrha' iah nonwén:ton thiehatiiá:ken's ne raotinónhskon? Nahò:ten' ratitshà:nis? Kèn:reks ken? 
<MOH id = 1134 >	14 Ronnentóhrha' kwah nek ne enshontkahrhátho' kanaktà:ke. Thok niió:re iehatikarenhrákwas tsi kahnhokà:ronte' tewatehnhohóntie's tánon' ensewatehnhó:ton'. 
<MOH id = 1135 >	15 Ótia'ke' nón:kwe só:tsi ronnentóhrha' nahontátenonte'. 
<MOH id = 1136 >	16 Nónhka rentóhrha' ì:rehre' raónha sénha teho'nikonhráthe' tsi ní:ioht ne tsá:ta nihá:ti naontahónhtka'we' tsi nihoti'nikonhrò:ten's ne tkarihwaié:ri. 	 
<MOH id = 1138 >	****** Result for Image/Page 61 ******

<MOH id = 1140 >	17 Tóka' iahsatatia'tò:roke' nónhka tehonaterihotáhrhon ne iah othé:nen tesarihwà:ke ne shà:ka ne ahsenatò:kten' tánon' è:rhar tahtshahonhtatirón:ten'. 
<MOH id = 1141 >	18-19 Nónhka nakò:ren tahsherihwaierónnion' tánon' ahsì:ron', "Nek ne wakatswà:ton, " ne shà:ka nónhka tehanonhwarawén:rie' iontswa'táhkhwa' rotatonnia'tén:ni ne iakohsehtáhkhwa'. 
<MOH id = 1142 >	20 Tóka' iah teká:ien ó:iente' enwà:swa' tsi iotékha'; tóka' iah tha'tahserihwenhá:wihte' tenká:ta'ne' ne tahsaterihwakén:ni'. 
<MOH id = 1143 >	21 O'swèn:ta' karì:wes katsí:rote', ó:iente' enhsatóntho' eniotékhake' ki' tánon' ò:ni' ne ronnéhsaks ne tahonterihotáhrho' ratinòn:we's aiónhnheke' ne taionterihwakén:ni'. 
<MOH id = 1144 >	22 Iawékon ne taierihwenhá:wihte'! Kwah ionkwé:ka's ne iaietewahnéhkwane'! 
<MOH id = 1145 >	23 Ne iah teiorihwí:io tsi sáhthare', wahséhtha' tsi nahò:ten' kwah tokèn:'en sanonhtónnion. Ne shà:ka aontahsate'nién:tenhste' ne kwah tioiánere' tsi tekastarathè:ton kátshe' ionnià:ton ne iah tekanawa'tstí:io. 
<MOH id = 1146 >	24 Nónhka teiekonhsotáhkwen ionhséhtha' atshwénhsera', karenhsarónhtshera' owenna'shòn:'a énhontste'. 
<MOH id = 1147 >	25 Tóka' nòn:wa ioiánere' tsi sathón:te', tóhsa ki' tatshéhtahkw, né: tsi rawerià:ne tetkáhere' ne atshwénhsera'. 
<MOH id = 1148 >	26 Enwá:ton' enhatkonwaró:roke' tsi rátshwens, akwé:kon ki' ienieién:tere'ne' tsi wahétken tsi nihatiéhrha'. 
<MOH id = 1149 >	27 Nón:kwe shakonaterístaiens ronónha ki' enshonatkarenhrákwahse'. Nón:kwe nónhka enthontáhsawen' aontonhwentsakahrhaténia'te' ronónha ne tenshotiia'tò:rarake'. 
<MOH id = 1150 >	28 Ó:nen'k tsi enhshehswénhseke' ónhka íhsehre' ahtskaré:wahte' tsi sanowenhtánions. Owenna'shòn:'a áhsatste' ne iah tho té:ioht ne tkáhas naiakokarón:ni'. 
<MOH id = 1151 >	27 Tóhsa só:tsi orihwí:io són:ni tsi kèn:'en ahsè:sheke' nenióhrhen'ne' ase'kénh iah tesaterièn:tare' oh nieniá:wen'ne' nòn:wa tánon' ne thó:ne. 
<MOH id = 1152 >	2 Sheríhon nakò:ren naiesahsennakará:tate' — ok ò:ni' ne iah tehsheienté:ri; tóhsa nonwén:ton í:se' tesataterénhsaron. 
<MOH id = 1153 >	 
<MOH id = 1154 >	****** Result for Image/Page 62 ******

<MOH id = 1156 >	3 Tsi niiókste' ne onén:ia' tánon' o'nehsarónhkwa' iah ne shà:ka té:ken, táhseren' ka'nikonhrharáhtshera' tsi tkáhas ne teiotenonhwarorì:tonte'. 
<MOH id = 1157 >	4 Kana'khwénhsera' iakokarón:nis tánon' enkahwatsiraríhsi' iah ki' ne tha'táhseren' ne aten'kehwháhtshera'. 
<MOH id = 1158 >	5 Ne sénha ioiánere' nónhka ahtsherihwakwaríhsien' tsi ní:ioht ne ahréhrheke' iah tehtshenòn:we's. 
<MOH id = 1159 >	6 Atenrò:sera' rón:nehre' iah othé:nen teiotié:ren naiesa'nikonhrakaré:wahte' nok nó:nen ónhka iesáhswens entiesahnénhsa' – se'nikòn:rarak ká:ti'! 
<MOH id = 1160 >	7 Nó:nen sáhton, iah tháhseke' otsi'nahkontahkwà:ne' óshes, nok nó:nen satonhkária'ks, iawerohátien ne iotská:ra ne kákhwa' teiotsikhè:tare' tsi énhseke'. 
<MOH id = 1161 >	8 Nónhka iah tho tétien's tsi nón:we tiè:teron, ne shà:ka ne tsítha iah tho té:we's tsi nón:we tiottsi'nahkón:ni. 
<MOH id = 1162 >	9 Iontia'takon'onhstáhkhwa' tánon' wenserákon's kén:ie entkáhawe' enhsatonhnhà:ren', ok ne ka'nikonhrharáhtshera' enkaríhsi' tsi skén:nen sanonhtónnions. 
<MOH id = 1163 >	10 Tóhsa sheia'ta'nikónhrhen ne sewatenro'shòn:'a ò:ni' ne ia'níha ronatenro'shòn:'a. Tóka' othé:nen tesa'nikónhrhare', tóhsa sheri'wanón:tonhs nónhka tsatátenonhkwe' aiesaia'takéhnha'; né:ne tetsanonhsané:ken sénha é:so eniesaia'takéhnha' tsi ní:ioht ne sewatátenonhkwe' ne í:non thón:ne's. 
<MOH id = 1164 >	11 Tesa'nikonhráthek, konièn:'a, tánon' enkatonhnhà:ren'; enwakatateweiennentà:'on takerihwa'será:ko' nónhka naionkerihwáhrho'se'. 
<MOH id = 1165 >	12 Nón:kwe ionttokhahtsherí:io eniónttoke' nó:nen tá:we' ne ka'nikonhrharáhtshera' tánon' eniontatia'tohtáhrho', nónhka iah thaionnonhtonnión:ko' entierihò:ka'te' tánon' ohna'kénhkha entsontateri'wáhsten'. 
<MOH id = 1166 >	13 Nón:kwe ne iah thia'tekaié:ri tha'teho'nikonhráthe' tóka' enhotatshennáhrhahse' ónhka iah tehoienté:ri tsi rotká:rote', tehotèn:tshon ki' ne akwé:kon enhotkaraién:ta'ne' nahò:ten' ró:ien. 
	 
<MOH id = 1169 >	****** Result for Image/Page 63 ******

<MOH id = 1171 >	14 Sha'té:ioht nia'té:kon ahsheiénhahse' sewatenro'shòn:'a tsi ní:ioht ne ohrhon'kéhstsi iorakarè:ni taiesahén:rehte' tsi ahsheiehtánion'. 
<MOH id = 1172 >	15 Ró:ne ne iakotewennaientónhtskon ne shà:ka ne ohné:kanos watshà:rhonhs, watshà:rhons, watshà:rhons, nó:nen iokennó:ron. 
<MOH id = 1173 >	16 Oh nénhsiere' nahshéhsweke'? Ó:nen ken sate'nién:ten táhstahste' ne ówera' tóka' ò:ni' ahsate'nién:ten' ahsié:na' sewahtsà:na kén:ie? 
<MOH id = 1174 >	17 Nón:kwe teiontaterihonnién:nis ne shà:ka ne karístatsi kahio'thí:ions ne karístatsi. 
<MOH id = 1175 >	18 Tesahrhò:ton kí:ken iokwí:rote' iotenen'akà:te' wahianiióntha' tánon' ensaién:take' ne áhseke'. Ratihnhà:tshera' tehshakotíhsnie' ne ratiia'takwe'ní:io enhonwatikwénienhste'. 
<MOH id = 1176 >	19 Í:se' satatkónhsakens nohnekà:ke tánon' sonhà:a'k enhsatátken' tsi tenhsatatia'tó:rehte' ne serià:ne. 
<MOH id = 1177 >	20 Nón:kwe nahò:ten' ionhská:neks, ne shà:ka taié:ren' tsi nón:we thononhwentsá:ien ne ronenhé:ion — tiótkon ne shé:kon ionáktote'. 
<MOH id = 1178 >	21 Tsi iotékha' ne ó:tsire' enwathró:ri' tóka' ken aóskon ohwistanó:ron tóka' ni' ken kahwistarà:ken. Ne ká:ti' shà:ka nón:kwe enwathró:ri' tsi naiakohsenniióhake'. 
<MOH id = 1179 >	22 Ok ò:ni' tóka' wahonwanonhwenhserário' tsi niió:re ne kenheià:thne, ne tehonatenonhwarorì:tonte' shé:kon ki' iah tha'tahsheté:ni' tsi tehonatenonhwarorì:tonte'. 
<MOH id = 1180 >	23 Teshéhsnie'n ne satshenen'ó:kon, teiotina'karontòn:'a tánon' ne tiohnhónskwaron tsi nisakwénion, 
<MOH id = 1181 >	24 Ase'kénh atsho'kowáhtshera' iah tha'tekahwi'shátste', iah ò:ni' tsi kanakerahserakè:ron. 
<MOH id = 1182 >	25 Enhsenekerí:ia'ke' thó:ne enhsathóntia'ke' tsi tionontatsnénhton tsi nikarì:wes ne ó:ia' tsonatehiahróntie' ne awennékeri. 
<MOH id = 1183 >	26 Enwá:ton' enhsatahkwenión:ni' ne énhsatste' karisé: teiotina'karontòn:'a tkonhtkà:was, tánon' enhsonhwentsahní:non' ne énhsatste' ohwísta' tsi enhsatenhní:non' ne satshenen'ó:kon kontiia'tákeras. 
<MOH id = 1184 >	27 Sok ne kontiia'tákeras ionatatén:ron entié:son' onòn:ta' ní:se' tánon' sahwá:tsire' ò:ni' ne konnón:kwe iesaio'ténhse'. 
	 
<MOH id = 1187 >	****** Result for Image/Page 64 ******

<MOH id = 1189 >	28 Ne iah tetionkwe'taié:ri enhontè:ko' nó:nen iah ónhka tehonwatíhsere', nok ne tionkwe'taié:ri tho nihoti'nikonhratshà:ni tsi ní:ioht ne kèn:reks. 
<MOH id = 1190 >	2 Nó:nen ne kanakeráhsera' enkarihwanéra'ke', tenhonttenión:ko' ne ronaterihón:ton. Enka'shátsteke' tánon' enkatátie' ne kanakeráhsera' tóka' tehoti'nikonhráthe' tánon' ronate'nikonhríson ne ohén:ton tenshatí:ta'ne'. 
<MOH id = 1191 >	3 Nónhka iakoteríhonte' ne aiontathwísha'te' ne iakó:ten ne shà:ka ne kwah io'shátste' aiokén:nore' aken'táksa'te' ne kaienthóhsera'. 
<MOH id = 1192 >	4 Tóka' iah tehskweniénhstha' ne kaianerénhsera', tho ki' nonkwá:ti tisaia'tèn:ton tsi nonkwá: iah tetionkwe'taié:ri; tóka' enhsatewén:narahkwe', enhserihwáia'ke' ki'. 
<MOH id = 1193 >	5 Nón:kwe ne ionkwe'táksen's iah tehatiienté:ri nahò:ten' nen' nè:'e aterihwakwarihsiónhtshera', nok nón:kwe ronwahsén:naiens ne Roiá:ner kwah tokèn:'en nen' nè:'e roti'nikonhraién:ta's. 
<MOH id = 1194 >	6 Ne sénha ioiánere' naiesenténhton tánon' aiesarihwakwarihsiónhake' tsi ní:ne aiesakwatshéhake' tánon' iah thaiesarihwakwarihsiónhake'. 
<MOH id = 1195 >	7 Ken' nithotiièn:sa tóka' rontewennaráhkhwa' ne kaianerénhsera', tehoti'nikonhráthe' ki'. Tóka' rontenro'serón:nis ne iah tehonatonkwe'tatkwéniens enhshakonatéha'te' ne ronwatiien'okòn:'a. 
